"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2017","1.0922","1.0999","1.1025","1.0916","","-0.66%"
"05/05/2017","1.0995","1.0989","1.1002","1.0949","","0.10%"
"05/04/2017","1.0984","1.0886","1.0989","1.0875","","0.94%"
"05/03/2017","1.0882","1.0929","1.0938","1.0882","","-0.41%"
"05/02/2017","1.0927","1.0899","1.0934","1.0888","","0.27%"
"05/01/2017","1.0898","1.0907","1.0925","1.0884","","0.03%"
"04/28/2017","1.0895","1.0877","1.0948","1.0857","","0.21%"
"04/27/2017","1.0872","1.0904","1.0934","1.0851","","-0.28%"
"04/26/2017","1.0903","1.0926","1.0951","1.0856","","-0.20%"
"04/25/2017","1.0925","1.0867","1.0951","1.0851","","0.53%"
"04/24/2017","1.0867","1.0891","1.0938","1.0820","","1.31%"
"04/21/2017","1.0726","1.0718","1.0738","1.0682","","0.11%"
"04/20/2017","1.0714","1.0711","1.0779","1.0707","","0.05%"
"04/19/2017","1.0709","1.0730","1.0738","1.0700","","-0.21%"
"04/18/2017","1.0732","1.0643","1.0738","1.0637","","0.86%"
"04/17/2017","1.0640","1.0615","1.0671","1.0602","","0.29%"
"04/14/2017","1.0609","1.0614","1.0631","1.0606","","-0.03%"
"04/13/2017","1.0612","1.0665","1.0679","1.0608","","-0.49%"
"04/12/2017","1.0664","1.0604","1.0677","1.0589","","0.58%"
"04/11/2017","1.0602","1.0596","1.0631","1.0578","","0.08%"
"04/10/2017","1.0593","1.0593","1.0608","1.0570","","0.05%"
"04/07/2017","1.0588","1.0644","1.0667","1.0580","","-0.51%"
"04/06/2017","1.0642","1.0663","1.0685","1.0629","","-0.19%"
"04/05/2017","1.0662","1.0674","1.0690","1.0635","","-0.09%"
"04/04/2017","1.0672","1.0669","1.0679","1.0636","","0.04%"
"04/03/2017","1.0668","1.0661","1.0682","1.0642","","0.18%"
"03/31/2017","1.0649","1.0674","1.0703","1.0650","","-0.23%"
"03/30/2017","1.0674","1.0766","1.0772","1.0671","","-0.85%"
"03/29/2017","1.0766","1.0813","1.0827","1.0740","","-0.43%"
"03/28/2017","1.0812","1.0865","1.0873","1.0798","","-0.48%"
"03/27/2017","1.0864","1.0797","1.0905","1.0796","","0.62%"
"03/24/2017","1.0797","1.0784","1.0819","1.0760","","0.16%"
"03/23/2017","1.0780","1.0797","1.0806","1.0768","","-0.14%"
"03/22/2017","1.0795","1.0810","1.0826","1.0775","","-0.12%"
"03/21/2017","1.0808","1.0740","1.0820","1.0719","","0.66%"
"03/20/2017","1.0737","1.0739","1.0778","1.0724","","0.01%"
"03/17/2017","1.0736","1.0766","1.0784","1.0727","","-0.26%"
"03/16/2017","1.0764","1.0735","1.0772","1.0705","","0.30%"
"03/15/2017","1.0732","1.0604","1.0742","1.0603","","1.23%"
"03/14/2017","1.0602","1.0654","1.0664","1.0599","","-0.48%"
"03/13/2017","1.0653","1.0674","1.0715","1.0651","","-0.15%"
"03/10/2017","1.0669","1.0577","1.0701","1.0571","","0.89%"
"03/09/2017","1.0575","1.0541","1.0616","1.0524","","0.34%"
"03/08/2017","1.0539","1.0566","1.0575","1.0534","","-0.25%"
"03/07/2017","1.0565","1.0583","1.0604","1.0558","","-0.12%"
"03/06/2017","1.0578","1.0617","1.0642","1.0574","","-0.40%"
"03/03/2017","1.0620","1.0507","1.0625","1.0501","","1.09%"
"03/02/2017","1.0506","1.0547","1.0554","1.0494","","-0.38%"
"03/01/2017","1.0546","1.0576","1.0590","1.0514","","-0.27%"
"02/28/2017","1.0575","1.0587","1.0631","1.0570","","-0.09%"
"02/27/2017","1.0585","1.0563","1.0631","1.0551","","0.24%"
"02/24/2017","1.0560","1.0582","1.0619","1.0556","","-0.18%"
